"Gene_Symbol","log2FC","P_Value","Adjusted_P_Value","Regulation"
"KLK5",1.45369618055556,0.000169638060875861,0.0129033378292018,"Upregulated"
"C6orf211",-1.05062673611111,0.000172949975944977,0.0129551116867993,"Downregulated"
"AG_1045",-2.07788541666667,0.000176224333614254,0.0131132116397311,"Downregulated"
"KRT5",1.04307986111112,0.000179557292448675,0.0132083494806753,"Upregulated"
"AG_3255",-1.03213541666667,0.000188485747572942,0.0134347291385361,"Downregulated"
"GATA3",-1.34075347222223,0.000195135983307861,0.0137562309636283,"Downregulated"
"PRR15",-1.53298263888889,0.000200039886624892,0.0139489852395743,"Downregulated"
"AG_2316",-1.52639583333333,0.000206237913311239,0.0141169369272355,"Downregulated"
"NPNT",-1.00501215277778,0.00022372214144905,0.0146770856306554,"Downregulated"
"RP3-452H17.2",1.01654861111111,0.000236144314226859,0.0151217034365271,"Upregulated"
"CYP4Z2P",-1.07967708333334,0.000252688315102602,0.0157420902660625,"Downregulated"
"AR",-1.48607118055555,0.000262744137944354,0.0159460166161486,"Downregulated"
"KLHDC7B",1.38175,0.000276786793777762,0.0164465587297226,"Upregulated"
"MUC16",1.12067881944445,0.000295615362085237,0.016952336052358,"Upregulated"
"SFRP1",1.4219513888889,0.000299362634779576,0.0170929152000431,"Upregulated"
"GATA3-AS1",-1.27919618055556,0.000316628619234181,0.0175186636728089,"Downregulated"
"AG_0119",-1.52094791666667,0.000327751752177388,0.0179182105875754,"Downregulated"
"BCAS1",-1.16539930555556,0.000330714482154393,0.0179884056570814,"Downregulated"
"DSC3",1.08267708333333,0.000337501781333748,0.0182648691292166,"Upregulated"
"AG_0258",-1.44227777777778,0.000353394691536239,0.0188708069005381,"Downregulated"
"AG_1186",-1.27567708333333,0.000378120381876089,0.0197322366814752,"Downregulated"
"ROPN1B",1.32902430555556,0.000390833557393274,0.0201019768575427,"Upregulated"
"CYP4Z1",-1.11752083333333,0.000447591389272211,0.0215716233876229,"Downregulated"
"GSDMC",1.207578125,0.000452719071689217,0.0217278474456147,"Upregulated"
"AG_1554",1.05203645833333,0.000511040558011682,0.0231701066424044,"Upregulated"
"LOC102724631",-1.18497916666667,0.00052835654314971,0.0233765560741366,"Downregulated"
"CRABP1",1.47433159722222,0.000547561089630313,0.0237863497125082,"Upregulated"
"SLPI",1.40071006944445,0.000560818393408915,0.0241016952867954,"Upregulated"
