"gene","log2FoldChange","pvalue","padj"
"LOC101927572",1.66925733580835,2.86467203240091e-09,7.4533036939007e-05
"LOC124903753",-0.912689778874574,2.14254045734758e-08,0.000278723088096346
"AARSD1P1",3.38625467150545,0.0254654271655408,0.999531826066693
"ABI2",1.18427596858477,0.00786688889798773,0.999531826066693
"ACOXL",0.904067390606454,0.027461895146132,0.999531826066693
"ACSL3",2.11508539067133,0.00951080622150848,0.999531826066693
"ACTA2-AS1",1.95368558700451,0.000858301787410684,0.999531826066693
"ACTG1P10",0.611658766976265,0.0169821259416181,0.999531826066693
"ACTN4",1.12351814335183,0.0305185600035545,0.999531826066693
"ACYP2",1.38077915579522,0.0411689538850956,0.999531826066693
"ADGRB1",-3.21130259455285,0.00145514822103918,0.999531826066693
"ADK",2.66743792589636,0.036826334014707,0.999531826066693
"AJM1",0.978229841867403,0.0290562631691058,0.999531826066693
"ALDH1B1",-2.90960324586311,0.0154463075655216,0.999531826066693
"ANK2",1.20475876500544,0.0449171113236808,0.999531826066693
"ANKRD34A",1.73767799177303,0.0209317674856906,0.999531826066693
"ATP10D",2.36408488910476,0.0471333612645275,0.999531826066693
"ATP5F1C",2.31306066459842,0.023335012356963,0.999531826066693
"ATP6V1F",1.99680731232732,0.0352048959052275,0.999531826066693
"BAZ2B",0.758604215112864,0.0175105545043793,0.999531826066693
"C11orf71",-1.14880794411623,0.016888734067953,0.999531826066693
"C12orf29",-0.551662171074786,0.00669231244321909,0.999531826066693
"C1RL-AS1",1.71695415880594,0.0378912957817416,0.999531826066693
"C2orf16",0.75548244889734,0.019654089814721,0.999531826066693
"CALM3",0.563822108845088,0.037862215722608,0.999531826066693
"CARNS1",1.20262623293594,0.0414557608750002,0.999531826066693
"CCAR1",0.828220413134897,0.0463637528980685,0.999531826066693
"CCDC65",1.89228836529665,0.0384046495326076,0.999531826066693
"CCNE2",-0.578620117837334,0.0115159772805155,0.999531826066693
"CCR10",2.03936804494107,0.00384398447226399,0.999531826066693
"CDCA7L",1.32297641876156,0.049611529617829,0.999531826066693
"CDH2",1.65142812037919,0.022790084693465,0.999531826066693
"CDK11A",-2.97414542069964,0.0112592523076277,0.999531826066693
"CDKL5",4.10466269281544,0.00576933141297093,0.999531826066693
"CEBPB-AS1",-0.650388249406536,0.00789406417618741,0.999531826066693
"CFAP418",3.46242933072109,0.00345468545066866,0.999531826066693
"CLDND1",1.47783854706485,0.049862128237347,0.999531826066693
"CLSTN3",1.8180295159793,0.0436646740094402,0.999531826066693
"COX3",-0.510986237848264,0.0326498104533253,0.999531826066693
"CYCS",-1.51613542356931,0.0446718095494217,0.999531826066693
"CYP4V2",-2.57785392020303,0.0377772537546734,0.999531826066693
"DEFB109F",0.578320658328368,0.0232214340024255,0.999531826066693
"DHX33",-1.72526861536507,0.0423970724318925,0.999531826066693
"DOCK1",2.3320614004992,0.0182125922146946,0.999531826066693
"DPCD",2.54795776767094,0.0257918660327393,0.999531826066693
"E2F2",-2.97442503583639,0.0430516178948196,0.999531826066693
"EEF1DP2",-0.748559131416067,0.00100194396348471,0.999531826066693
"EIF2A",0.579026365709612,0.0216800380038456,0.999531826066693
"EIF2AK1",-0.739659007728709,0.0382125719696779,0.999531826066693
"EML2-AS1",1.38173737774584,0.0116667508717731,0.999531826066693
"ERI2",1.34330303051009,0.015520850134648,0.999531826066693
"FAM228B",0.675343592644368,0.0027086140127543,0.999531826066693
"FMNL1",0.856139255787232,0.0243478006266232,0.999531826066693
"FNBP1L",1.50974054429095,0.0489333359332862,0.999531826066693
"GJA9-MYCBP",3.1289456709605,0.00980834539519735,0.999531826066693
"GPD2",1.8131500511346,0.0331237125644329,0.999531826066693
"GTF2F1",-0.833514910660226,0.0346975595371886,0.999531826066693
"H4C15",0.900283357777486,0.00107158982373716,0.999531826066693
"HAUS3",-1.21205420998205,0.0473669024150148,0.999531826066693
"HBS1L",2.10865705228261,0.0314129904205667,0.999531826066693
"HDGF",-0.836879032276019,0.0396531450751018,0.999531826066693
"HES6",-0.802525198790209,0.00167863271859011,0.999531826066693
"HEXIM1",0.731491465114913,0.00257831930114649,0.999531826066693
"HSD11B2",-2.47457346725596,0.0275405913173267,0.999531826066693
"HSD17B1P1",0.737826188698928,0.0244779285180682,0.999531826066693
"IDH3A",1.65983662824687,0.0246202286783315,0.999531826066693
"IGFBP4",3.41139050548503,0.0233714236094547,0.999531826066693
"IGFL4",-2.68580330456101,0.00923385681180904,0.999531826066693
"INSIG2",-3.05587887542413,0.0220236287079658,0.999531826066693
"JRKL",2.1948240239753,0.0243196223305368,0.999531826066693
"KLC4-AS1",0.554205946705525,0.0132422911564312,0.999531826066693
"KRT18P7",-2.67355614459427,0.0346521532759906,0.999531826066693
"LAMA5",1.40636502499411,0.0450384286692645,0.999531826066693
"LIMA1",1.44139042806847,0.0465309721879598,0.999531826066693
"LINC02520",3.02893678005823,0.0150701232742526,0.999531826066693
"LIPI",2.33665361061921,0.0131053988163432,0.999531826066693
"LOC100131294",-2.4723899946971,0.0396865785508401,0.999531826066693
"LOC100288123",-0.61388914474063,0.00697839528503413,0.999531826066693
"LOC100505915",-1.02770648471371,0.0354760470788403,0.999531826066693
"LOC101929018",1.01373397436532,0.0141571424066485,0.999531826066693
"LOC105369617",-3.35995204808186,0.0362674180293446,0.999531826066693
"LOC105370384",-0.526731777086558,0.00307743640133069,0.999531826066693
"LOC105370846",1.80919658668723,0.041405262496747,0.999531826066693
"LOC105371770",2.4927872485269,0.015646190913579,0.999531826066693
"LOC105372107",2.1320338140385,0.0460368274347335,0.999531826066693
"LOC105372281",1.51958877790148,0.0254025461740052,0.999531826066693
"LOC105373424",-1.20774547971234,0.0451272167349189,0.999531826066693
"LOC105374836",0.589908745055351,0.0376033745926894,0.999531826066693
"LOC105375514",1.00604925936762,0.0357872274124262,0.999531826066693
"LOC105376722",1.1531218108652,0.0349862699568813,0.999531826066693
"LOC105376806",1.17083765041475,0.0455259585082817,0.999531826066693
"LOC105379193",-0.543590322376995,0.0345117187449759,0.999531826066693
"LOC107985192",3.20458745952688,0.00256018289408444,0.999531826066693
"LOC107985521",-0.839704433242112,0.00342408940502197,0.999531826066693
"LOC107985664",1.34597091853927,0.039884876253052,0.999531826066693
"LOC107986822",2.3685758567015,0.0105593413179025,0.999531826066693
"LOC112268226",0.938261971061415,0.00926872945345922,0.999531826066693
"LOC124900479",-1.02653957770789,0.0218717988757885,0.999531826066693
"LOC124900717",1.54917178519313,0.0212188436309539,0.999531826066693
"LOC124900961",-0.513940369064521,0.000208086974386909,0.999531826066693
"LOC124901897",2.60391025089689,0.0245290159461783,0.999531826066693
"LOC124902140",3.6509474420168,0.00304641900606066,0.999531826066693
"LOC124902310",-2.808641900701,0.00934494762880632,0.999531826066693
"LOC124903499",-2.98333416218534,0.0296339631027114,0.999531826066693
"LOC124904011",0.555805800222412,0.000915282993454994,0.999531826066693
"LOC124904920",-1.31662672483514,0.0339235553238313,0.999531826066693
"LOC124905200",2.70582460031235,0.0233002036773808,0.999531826066693
"LOC124906130",2.17561254010198,0.0168168368909441,0.999531826066693
"LOC284600",1.43977004178246,0.00342308117704791,0.999531826066693
"LPCAT3",-0.640253015631785,0.0198426420327812,0.999531826066693
