"Cancer_Type","Dataset","Regulation","Input_Class","Selection_Criterion","Hub_Gene_Count","TF_Source","Total_TF_Terms_Returned","Significant_TF_Terms","Minimum_Adjusted_P_Value","Analysis_Status"
"Breast cancer","GSE173839","Upregulated","Primary_Strict_DEGs","BH adjusted P < 0.05; |log2FC| >= 1.0",10,"ChEA_2022",298,1,0.030202408571442,"TF enrichment completed"
"Breast cancer","GSE173839","Downregulated","Primary_Strict_DEGs","BH adjusted P < 0.05; |log2FC| >= 1.0",10,"ChEA_2022",409,26,6.49458793628567e-05,"TF enrichment completed"
"Lung cancer","GSE33072","Upregulated","Exploratory_Candidates","Raw P < 0.05; |log2FC| >= 0.5",10,"ChEA_2022",370,0,0.2352187448589,"TF enrichment completed"
"Lung cancer","GSE33072","Downregulated","Exploratory_Candidates","Raw P < 0.05; |log2FC| >= 0.5",6,"ChEA_2022",309,3,0.00199934455106179,"TF enrichment completed"
"Ovarian cancer","GSE156699","Upregulated","Primary_Strict_DEGs","BH adjusted P < 0.05; |log2FC| >= 1.0",10,"ChEA_2022",385,0,0.0717201860083979,"TF enrichment completed"
"Ovarian cancer","GSE156699","Downregulated","Primary_Strict_DEGs","BH adjusted P < 0.05; |log2FC| >= 1.0",10,"ChEA_2022",385,13,1.55814241332792e-05,"TF enrichment completed"
"Prostate cancer","GSE279730","Upregulated","Primary_Strict_DEGs","BH adjusted P < 0.05; |log2FC| >= 1.0",10,"ChEA_2022",464,42,8.48836931570404e-05,"TF enrichment completed"
"Prostate cancer","GSE279730","Downregulated","Primary_Strict_DEGs","BH adjusted P < 0.05; |log2FC| >= 1.0",10,"ChEA_2022",328,5,6.9187034140527e-07,"TF enrichment completed"
"Small-cell lung cancer","GSE188705","Upregulated","Exploratory_Candidates","Raw P < 0.05; |log2FC| >= 0.5",10,"ChEA_2022",449,1,0.0160294904738637,"TF enrichment completed"
