Cancer_Type,Discovery_Dataset,Gene_Symbol,MCC_Rank,MCC_Score,S13_Recurrent_CrossCancer,S14_Validated_Concordant,S15_TumorNormal_Concordant,S15_KM_Significant,S15_Cox_Significant,S15_Stage_Significant,S16_TISCH_Localization_Available,Drug_Name,Interaction_Type,Interaction_Claim_Source,Original_Evidence_Source,FDA_Approved_Status,Direct_Target_or_Indirect_Association,Cancer_Relevance,Therapeutic_Interpretation,Source_File,Source_Relative_Path,Evidence_Origin,Source_Database,Source_PMIDs,Query_Source,Query_Date,Raw_Query_Status,DGIdb_Interaction_ID,Interaction_Score,Evidence_Score,Drug_Approved_Explicit,Drug_AntiNeoplastic_Explicit,Drug_Immunotherapy_Explicit,Raw_JSON,Any_Downstream_Support
Prostate cancer,GSE279730,COL2A1,7,7,False,False,True,False,False,False,False,COLLAGENASE CLOSTRIDIUM HISTOLYTICUM,cleavage,"The ChEMBL Bioactivity Database; The Druggable Genome: Evaluation of Drug Targets in Clinical Trials Suggests Major Shifts in Molecular Class and Indication (Rask-Andersen, Masuram, Schioth 2014); Trends in the exploitation of novel drug targets (Rask-Andersen, et al., 2011)",,Approved_explicit_in_source,Direct_Target,Cancer_relevance_not_established_by_interaction_source,COL2A1 has a approved DGIdb drug-gene interaction involving COLLAGENASE CLOSTRIDIUM HISTOLYTICUM. Multilayer support: S15 tumor-normal concordant. This does not establish therapeutic efficacy or cancer-specific clinical actionability.,Fresh DGIdb GraphQL query,https://dgidb.org/api/graphql,Fresh_DGIdb_Query,ChEMBL; TEND; TdgClinicalTrial,,https://dgidb.org/api/graphql,2026-07-14T21:46:25,Interaction_Found,d4f7cab9-a370-4496-8e88-30860307e64c,1.890428196188668,3.0,True,False,False,"{""drug"": {""antiNeoplastic"": false, ""approved"": true, ""conceptId"": ""rxcui:898492"", ""immunotherapy"": false, ""name"": ""COLLAGENASE CLOSTRIDIUM HISTOLYTICUM""}, ""evidenceScore"": 3, ""gene"": {""conceptId"": ""hgnc:2200"", ""name"": ""COL2A1""}, ""id"": ""d4f7cab9-a370-4496-8e88-30860307e64c"", ""interactionScore"": 1.890428196188668, ""interactionTypes"": [{""directionality"": ""INHIBITORY"", ""type"": ""cleavage""}], ""publications"": [], ""sources"": [{""fullName"": ""Trends in the exploitation of novel drug targets (Rask-Andersen, et al., 2011)"", ""sourceDbName"": ""TEND""}, {""fullName"": ""The Druggable Genome: Evaluation of Drug Targets in Clinical Trials Suggests Major Shifts in Molecular Class and Indication (Rask-Andersen, Masuram, Schioth 2014)"", ""sourceDbName"": ""TdgClinicalTrial""}, {""fullName"": ""The ChEMBL Bioactivity Database"", ""sourceDbName"": ""ChEMBL""}]}",True
Prostate cancer,GSE279730,COL2A1,7,7,False,False,True,False,False,False,False,OCRIPLASMIN,cleavage,The ChEMBL Bioactivity Database,,Approved_explicit_in_source,Direct_Target,Cancer_relevance_not_established_by_interaction_source,COL2A1 has a approved DGIdb drug-gene interaction involving OCRIPLASMIN. Multilayer support: S15 tumor-normal concordant. This does not establish therapeutic efficacy or cancer-specific clinical actionability.,Fresh DGIdb GraphQL query,https://dgidb.org/api/graphql,Fresh_DGIdb_Query,ChEMBL,,https://dgidb.org/api/graphql,2026-07-14T21:46:25,Interaction_Found,6e97d914-8998-4fec-9815-3b3b9580dc7a,0.4643156973094976,1.0,True,False,False,"{""drug"": {""antiNeoplastic"": false, ""approved"": true, ""conceptId"": ""rxcui:29998"", ""immunotherapy"": false, ""name"": ""OCRIPLASMIN""}, ""evidenceScore"": 1, ""gene"": {""conceptId"": ""hgnc:2200"", ""name"": ""COL2A1""}, ""id"": ""6e97d914-8998-4fec-9815-3b3b9580dc7a"", ""interactionScore"": 0.4643156973094976, ""interactionTypes"": [{""directionality"": ""INHIBITORY"", ""type"": ""cleavage""}], ""publications"": [], ""sources"": [{""fullName"": ""The ChEMBL Bioactivity Database"", ""sourceDbName"": ""ChEMBL""}]}",True
Prostate cancer,GSE279730,PDGFRA,8,4,True,False,False,False,False,False,False,AC710,inhibitor,Guide to Pharmacology,,Not_explicitly_reported,Direct_Target,Cancer_relevance_not_established_by_interaction_source,PDGFRA has a DGIdb drug-gene interaction involving AC710. Multilayer support: S13 recurrent. This does not establish therapeutic efficacy or cancer-specific clinical actionability.,Fresh DGIdb GraphQL query,https://dgidb.org/api/graphql,Fresh_DGIdb_Query,GuideToPharmacology,,https://dgidb.org/api/graphql,2026-07-14T21:46:25,Interaction_Found,f308aacd-83b4-417d-bfc1-6b517688c13b,0.1245458576312534,1.0,False,False,False,"{""drug"": {""antiNeoplastic"": false, ""approved"": false, ""conceptId"": ""iuphar.ligand:8095"", ""immunotherapy"": false, ""name"": ""AC710""}, ""evidenceScore"": 1, ""gene"": {""conceptId"": ""hgnc:8803"", ""name"": ""PDGFRA""}, ""id"": ""f308aacd-83b4-417d-bfc1-6b517688c13b"", ""interactionScore"": 0.1245458576312534, ""interactionTypes"": [{""directionality"": ""INHIBITORY"", ""type"": ""inhibitor""}], ""publications"": [], ""sources"": [{""fullName"": ""Guide to Pharmacology"", ""sourceDbName"": ""GuideToPharmacology""}]}",True
Prostate cancer,GSE279730,PDGFRA,8,4,True,False,False,False,False,False,False,AMUVATINIB,inhibitor,"My Cancer Genome; The ChEMBL Bioactivity Database; The Druggable Genome: Evaluation of Drug Targets in Clinical Trials Suggests Major Shifts in Molecular Class and Indication (Rask-Andersen, Masuram, Schioth 2014); Therapeutic Target Database",,Not_explicitly_reported,Direct_Target,Cancer_relevance_explicitly_annotated,PDGFRA has a DGIdb drug-gene interaction involving AMUVATINIB. Multilayer support: S13 recurrent. This does not establish therapeutic efficacy or cancer-specific clinical actionability.,Fresh DGIdb GraphQL query,https://dgidb.org/api/graphql,Fresh_DGIdb_Query,ChEMBL; MyCancerGenome; TTD; TdgClinicalTrial,,https://dgidb.org/api/graphql,2026-07-14T21:46:25,Interaction_Found,f7e3a3aa-3751-4425-95cb-d0a07416a5bb,0.3558453075178671,4.0,False,True,False,"{""drug"": {""antiNeoplastic"": true, ""approved"": false, ""conceptId"": ""ncit:C71750"", ""immunotherapy"": false, ""name"": ""AMUVATINIB""}, ""evidenceScore"": 4, ""gene"": {""conceptId"": ""hgnc:8803"", ""name"": ""PDGFRA""}, ""id"": ""f7e3a3aa-3751-4425-95cb-d0a07416a5bb"", ""interactionScore"": 0.3558453075178671, ""interactionTypes"": [{""directionality"": ""INHIBITORY"", ""type"": ""inhibitor""}], ""publications"": [], ""sources"": [{""fullName"": ""The Druggable Genome: Evaluation of Drug Targets in Clinical Trials Suggests Major Shifts in Molecular Class and Indication (Rask-Andersen, Masuram, Schioth 2014)"", ""sourceDbName"": ""TdgClinicalTrial""}, {""fullName"": ""My Cancer Genome"", ""sourceDbName"": ""MyCancerGenome""}, {""fullName"": ""Therapeutic Target Database"", ""sourceDbName"": ""TTD""}, {""fullName"": ""The ChEMBL Bioactivity Database"", ""sourceDbName"": ""ChEMBL""}]}",True
Prostate cancer,GSE279730,PDGFRA,8,4,True,False,False,False,False,False,False,AST-487,,Drug Target Commons,,Not_explicitly_reported,Association_or_unspecified_interaction,Cancer_relevance_explicitly_annotated,PDGFRA has a DGIdb drug-gene interaction involving AST-487. Multilayer support: S13 recurrent. This does not establish therapeutic efficacy or cancer-specific clinical actionability.,Fresh DGIdb GraphQL query,https://dgidb.org/api/graphql,Fresh_DGIdb_Query,DTC,,https://dgidb.org/api/graphql,2026-07-14T21:46:25,Interaction_Found,5f872087-4079-4184-adf8-b0846b79c201,0.01683052130152074,1.0,False,True,False,"{""drug"": {""antiNeoplastic"": true, ""approved"": false, ""conceptId"": ""iuphar.ligand:5661"", ""immunotherapy"": false, ""name"": ""AST-487""}, ""evidenceScore"": 1, ""gene"": {""conceptId"": ""hgnc:8803"", ""name"": ""PDGFRA""}, ""id"": ""5f872087-4079-4184-adf8-b0846b79c201"", ""interactionScore"": 0.01683052130152074, ""interactionTypes"": [], ""publications"": [], ""sources"": [{""fullName"": ""Drug Target Commons"", ""sourceDbName"": ""DTC""}]}",True
Prostate cancer,GSE279730,PDGFRA,8,4,True,False,False,False,False,False,False,AVAPRITINIB,inhibitor,CIViC: Clinical Interpretation of Variants in Cancer; PharmGKB - The Pharmacogenomics Knowledgebase; The ChEMBL Bioactivity Database; Therapeutic Target Database,30274985,Approved_explicit_in_source,Association_or_unspecified_interaction,Cancer_relevance_explicitly_annotated,PDGFRA has a approved DGIdb drug-gene interaction involving AVAPRITINIB. Multilayer support: S13 recurrent. This does not establish therapeutic efficacy or cancer-specific clinical actionability.,Fresh DGIdb GraphQL query,https://dgidb.org/api/graphql,Fresh_DGIdb_Query,CIViC; ChEMBL; PharmGKB; TTD,30274985,https://dgidb.org/api/graphql,2026-07-14T21:46:25,Interaction_Found,39b23f11-2851-40b3-8265-f8625c8fc78f,0.6227292881562674,4.0,True,True,False,"{""drug"": {""antiNeoplastic"": true, ""approved"": true, ""conceptId"": ""rxcui:2272107"", ""immunotherapy"": false, ""name"": ""AVAPRITINIB""}, ""evidenceScore"": 4, ""gene"": {""conceptId"": ""hgnc:8803"", ""name"": ""PDGFRA""}, ""id"": ""39b23f11-2851-40b3-8265-f8625c8fc78f"", ""interactionScore"": 0.6227292881562674, ""interactionTypes"": [], ""publications"": [{""citation"": ""Gebreyohannes YK et al., 2019, Robust Activity of Avapritinib, Potent and Highly Selective Inhibitor of Mutated KIT, in Patient-derived Xenograft Models of Gastrointestinal Stromal Tumors., Clin Cancer Res"", ""pmid"": 30274985}], ""sources"": [{""fullName"": ""PharmGKB - The Pharmacogenomics Knowledgebase"", ""sourceDbName"": ""PharmGKB""}, {""fullName"": ""CIViC: Clinical Interpretation of Variants in Cancer"", ""sourceDbName"": ""CIViC""}, {""fullName"": ""Therapeutic Target Database"", ""sourceDbName"": ""TTD""}]}",True
Prostate cancer,GSE279730,PDGFRA,8,4,True,False,False,False,False,False,False,AXITINIB,,"The Druggable Genome: Evaluation of Drug Targets in Clinical Trials Suggests Major Shifts in Molecular Class and Indication (Rask-Andersen, Masuram, Schioth 2014)",,Approved_explicit_in_source,Association_or_unspecified_interaction,Cancer_relevance_explicitly_annotated,PDGFRA has a approved DGIdb drug-gene interaction involving AXITINIB. Multilayer support: S13 recurrent. This does not establish therapeutic efficacy or cancer-specific clinical actionability.,Fresh DGIdb GraphQL query,https://dgidb.org/api/graphql,Fresh_DGIdb_Query,TdgClinicalTrial,,https://dgidb.org/api/graphql,2026-07-14T21:46:25,Interaction_Found,99c8604e-43e3-4db9-a88e-e625d5efa2eb,0.03113646440781337,1.0,True,True,False,"{""drug"": {""antiNeoplastic"": true, ""approved"": true, ""conceptId"": ""rxcui:1242999"", ""immunotherapy"": false, ""name"": ""AXITINIB""}, ""evidenceScore"": 1, ""gene"": {""conceptId"": ""hgnc:8803"", ""name"": ""PDGFRA""}, ""id"": ""99c8604e-43e3-4db9-a88e-e625d5efa2eb"", ""interactionScore"": 0.03113646440781337, ""interactionTypes"": [], ""publications"": [], ""sources"": [{""fullName"": ""The Druggable Genome: Evaluation of Drug Targets in Clinical Trials Suggests Major Shifts in Molecular Class and Indication (Rask-Andersen, Masuram, Schioth 2014)"", ""sourceDbName"": ""TdgClinicalTrial""}]}",True
Prostate cancer,GSE279730,PDGFRA,8,4,True,False,False,False,False,False,False,BARASERTIB,,Drug Target Commons,,Not_explicitly_reported,Association_or_unspecified_interaction,Cancer_relevance_explicitly_annotated,PDGFRA has a DGIdb drug-gene interaction involving BARASERTIB. Multilayer support: S13 recurrent. This does not establish therapeutic efficacy or cancer-specific clinical actionability.,Fresh DGIdb GraphQL query,https://dgidb.org/api/graphql,Fresh_DGIdb_Query,DTC,,https://dgidb.org/api/graphql,2026-07-14T21:46:25,Interaction_Found,1bf3cd2f-87a2-467f-ad2c-c119ed65ee4a,0.05661175346875159,1.0,False,True,False,"{""drug"": {""antiNeoplastic"": true, ""approved"": false, ""conceptId"": ""ncit:C62502"", ""immunotherapy"": false, ""name"": ""BARASERTIB""}, ""evidenceScore"": 1, ""gene"": {""conceptId"": ""hgnc:8803"", ""name"": ""PDGFRA""}, ""id"": ""1bf3cd2f-87a2-467f-ad2c-c119ed65ee4a"", ""interactionScore"": 0.05661175346875159, ""interactionTypes"": [], ""publications"": [], ""sources"": [{""fullName"": ""Drug Target Commons"", ""sourceDbName"": ""DTC""}]}",True
Prostate cancer,GSE279730,PDGFRA,8,4,True,False,False,False,False,False,False,BARASERTIB-HQPA,,Drug Target Commons,,Not_explicitly_reported,Association_or_unspecified_interaction,Cancer_relevance_not_established_by_interaction_source,PDGFRA has a DGIdb drug-gene interaction involving BARASERTIB-HQPA. Multilayer support: S13 recurrent. This does not establish therapeutic efficacy or cancer-specific clinical actionability.,Fresh DGIdb GraphQL query,https://dgidb.org/api/graphql,Fresh_DGIdb_Query,DTC,,https://dgidb.org/api/graphql,2026-07-14T21:46:25,Interaction_Found,10f8a8a1-3908-4c1f-901d-11b3afb0a47f,0.02830587673437579,1.0,False,False,False,"{""drug"": {""antiNeoplastic"": false, ""approved"": false, ""conceptId"": ""iuphar.ligand:5663"", ""immunotherapy"": false, ""name"": ""BARASERTIB-HQPA""}, ""evidenceScore"": 1, ""gene"": {""conceptId"": ""hgnc:8803"", ""name"": ""PDGFRA""}, ""id"": ""10f8a8a1-3908-4c1f-901d-11b3afb0a47f"", ""interactionScore"": 0.02830587673437579, ""interactionTypes"": [], ""publications"": [], ""sources"": [{""fullName"": ""Drug Target Commons"", ""sourceDbName"": ""DTC""}]}",True
Prostate cancer,GSE279730,PDGFRA,8,4,True,False,False,False,False,False,False,BECAPLERMIN,agonist,"The ChEMBL Bioactivity Database; The Druggable Genome: Evaluation of Drug Targets in Clinical Trials Suggests Major Shifts in Molecular Class and Indication (Rask-Andersen, Masuram, Schioth 2014); Trends in the exploitation of novel drug targets (Rask-Andersen, et al., 2011)",,Approved_explicit_in_source,Direct_Target,Cancer_relevance_not_established_by_interaction_source,PDGFRA has a approved DGIdb drug-gene interaction involving BECAPLERMIN. Multilayer support: S13 recurrent. This does not establish therapeutic efficacy or cancer-specific clinical actionability.,Fresh DGIdb GraphQL query,https://dgidb.org/api/graphql,Fresh_DGIdb_Query,ChEMBL; TEND; TdgClinicalTrial,,https://dgidb.org/api/graphql,2026-07-14T21:46:25,Interaction_Found,13f476eb-e3a2-42cf-ae28-8be9ec741beb,0.6227292881562675,3.0,True,False,False,"{""drug"": {""antiNeoplastic"": false, ""approved"": true, ""conceptId"": ""rxcui:115238"", ""immunotherapy"": false, ""name"": ""BECAPLERMIN""}, ""evidenceScore"": 3, ""gene"": {""conceptId"": ""hgnc:8803"", ""name"": ""PDGFRA""}, ""id"": ""13f476eb-e3a2-42cf-ae28-8be9ec741beb"", ""interactionScore"": 0.6227292881562675, ""interactionTypes"": [{""directionality"": ""ACTIVATING"", ""type"": ""agonist""}], ""publications"": [], ""sources"": [{""fullName"": ""Trends in the exploitation of novel drug targets (Rask-Andersen, et al., 2011)"", ""sourceDbName"": ""TEND""}, {""fullName"": ""The Druggable Genome: Evaluation of Drug Targets in Clinical Trials Suggests Major Shifts in Molecular Class and Indication (Rask-Andersen, Masuram, Schioth 2014)"", ""sourceDbName"": ""TdgClinicalTrial""}, {""fullName"": ""The ChEMBL Bioactivity Database"", ""sourceDbName"": ""ChEMBL""}]}",True
