Gene_Symbol,log2FC,P_Value,Adjusted_P_Value,Regulation
CHRDL1,1.62467751683689,0.0103128620374715,0.0329183308090568,Upregulated
PRR29,2.83505361050353,0.0103309977733222,0.0329710272189367,Upregulated
GPR78,-1.16516686966607,0.0103443963154459,0.0330044540023355,Downregulated
COMMD4P1,-1.20285875820855,0.0103611220861484,0.0330463546127682,Downregulated
HOXC4,2.49377671840296,0.0104099688387299,0.0331864829179326,Upregulated
TGFB2,1.24429928882265,0.0104804378565726,0.0333743904029646,Upregulated
HHIPL2,2.1259908740338,0.0105347570156459,0.0335148917363583,Upregulated
SLC30A10,1.83432571397303,0.0105777133139531,0.0336102321932146,Upregulated
EN2,2.93431494719367,0.010583523715086,0.0336234235393539,Upregulated
C4orf50,-1.75753387069498,0.0105911301813057,0.0336317746584499,Downregulated
DYDC2,3.53961872152285,0.0107630086113086,0.0340974400660542,Upregulated
SLC24A3,-3.58242309004732,0.0107860038980539,0.0341594702025762,Downregulated
NAPSB,-1.61918295708843,0.0108400455528478,0.0342986080722247,Downregulated
GBA3_1,3.22463325220563,0.0109823834785231,0.0346767874275628,Upregulated
LOC105375855,-1.03751999484628,0.0110559514230233,0.0348783002946708,Downregulated
CLYBL-AS3,-1.05063893679838,0.0111547195570202,0.0351406606623006,Downregulated
TTC14-DT,-1.02629053987011,0.0112513643452449,0.0354098195878241,Downregulated
ZNF578,1.95192441292474,0.0113021562551683,0.0355278233771722,Upregulated
LOC124900856,-1.27903483697855,0.0116115994924956,0.0363378016641453,Downregulated
LINC02912,2.30414667308006,0.0116118181152829,0.0363378016641453,Upregulated
LOC105375514,-1.85684702824313,0.0117832841881103,0.0368175408060439,Downregulated
GPC1-AS1,-1.30314510949222,0.0119682642950651,0.037349460969465,Downregulated
HHIP,-3.06085200006556,0.0119996825039791,0.0374417433302265,Downregulated
LOC101927603,-3.00883648310402,0.0122581206655044,0.038136584461874,Downregulated
LOC107985871,-1.28737357716742,0.012261602710816,0.0381415631285342,Downregulated
LOC105374016,-1.30334694990783,0.0123082144279589,0.0382508735278714,Downregulated
FMOD,3.32831889199512,0.012315574183734,0.0382624728893477,Upregulated
LOC124904993,2.84404307674995,0.0123325926166455,0.0383023509918917,Upregulated
LOC124902174,-2.72331388617515,0.012344712036686,0.0383294988161135,Downregulated
GPR152,1.61034492185725,0.0125720157528484,0.0388863401944887,Upregulated
FIBCD1-AS1,-3.27438531644709,0.0126190725704797,0.0390199819879562,Downregulated
CA3,1.51186327983946,0.0127059518589222,0.0392407341503113,Upregulated
ADAMTS12,3.38945170032387,0.0127899326483403,0.0394640196147375,Upregulated
SOSTDC1,1.90604784687572,0.0129694346436792,0.0399449127477182,Upregulated
SNORA16A,-1.62175893219358,0.0129863378986295,0.0399848219455143,Downregulated
SLC30A2,1.09848317392537,0.0133073104951094,0.0408210921921429,Upregulated
LOC107987116,-1.06470917825017,0.0133642526625613,0.0409437340643701,Downregulated
PTGER2,3.28981813845625,0.013473337375441,0.0412212943792927,Upregulated
GPR4,-3.14537668317333,0.0135279226306082,0.0413773507915552,Downregulated
