Gene_Symbol,log2FC,P_Value,Adjusted_P_Value,Regulation
OR4F16,-3.36481783023326,7.10566178239552e-20,2.1135936978484402e-17,Downregulated
LOC101929255,-2.46683124549339,8.63790173125042e-20,2.53464051611313e-17,Downregulated
H1-10-AS1,2.01004210564051,1.98180093070271e-19,5.73771005457049e-17,Upregulated
H4C15,-2.33584220182057,2.30159956588447e-19,6.54495235028872e-17,Downregulated
LINC00987,3.20893002192431,2.32090508875487e-19,6.54495235028872e-17,Upregulated
LOC107986717,-2.70859466186376,2.79382651048032e-19,7.77758318571406e-17,Downregulated
DEFB109E,-2.07613868838045,2.94194674435127e-19,8.08625716542323e-17,Downregulated
MSTO1,-2.05947118877557,5.147801259277781e-19,1.3972419567994699e-16,Downregulated
POM121L8P,-3.26265184484038,8.77496890605899e-19,2.35234166452055e-16,Downregulated
LOC112267903,-3.25389854085803,1.2467511406630199e-18,3.30145783760449e-16,Downregulated
PCNP,2.58946255722581,1.4410749968994499e-18,3.77006054008129e-16,Upregulated
LOC387770,-3.96650983752448,2.2541770063245598e-18,5.82704756134899e-16,Downregulated
SLC29A4,2.03425743470511,2.780652308818e-18,7.10342167454989e-16,Upregulated
LOC105379443,-3.05338365383744,3.49748400029532e-18,8.83074041655959e-16,Downregulated
ANKRD20A4-ANKRD20A20P,-4.06561044427061,5.81388290164201e-18,1.4510649807615502e-15,Downregulated
LOC124903816,-2.97943677722365,6.99998198753584e-18,1.7272455554244701e-15,Downregulated
LOC107987089,-3.7014677338007,1.14360116787438e-17,2.7901298605870102e-15,Downregulated
PABPN1P2,-2.00618405161961,1.24980333395232e-17,3.0153588437156303e-15,Downregulated
LOC100996709,-2.50671232695017,1.71664419787359e-17,4.0961771552337505e-15,Downregulated
NOPCHAP1,-2.98335591890291,2.42404248662357e-17,5.72126723418959e-15,Downregulated
LOC112268123,3.07937120434937,5.39180711349842e-17,1.25889999637102e-14,Upregulated
LINC02067,1.91538964260918,8.15273290139898e-17,1.88328130022316e-14,Upregulated
RPAP2,-2.65478700424762,8.32979217386323e-17,1.90392744487649e-14,Downregulated
LOC154761,-2.46642579266,8.5086832263934e-17,1.92455778726986e-14,Downregulated
LOC100506730,-3.72819333722951,1.0286566535697001e-16,2.3027062449084998e-14,Downregulated
LOC124904456,1.18958455228877,1.18194427232084e-16,2.61885080909946e-14,Upregulated
LOC124902768,-3.7203137995682,1.28469326588636e-16,2.81776056317741e-14,Downregulated
RPL3P4,3.77776537609404,1.31453694945089e-16,2.85438553203767e-14,Upregulated
LOC124901610,-1.15173066839192,2.33623967771048e-16,5.02268399621835e-14,Downregulated
LOC107984037,-3.20309822518932,2.42372269682243e-16,5.15967790576492e-14,Downregulated
TOMM40,-2.75399580404505,2.67612791495539e-16,5.64169335391663e-14,Downregulated
ARHGAP11B-DT,-2.62023217905022,2.90592075787635e-16,6.06722724389684e-14,Downregulated
HLA-DRB7,-4.32167872351953,3.07899198698243e-16,6.367355429079661e-14,Downregulated
RPS25,2.60699032696131,5.35149417810305e-16,1.0962485338049998e-13,Upregulated
LOC124904397,-1.65745568133399,7.11158934889218e-16,1.4431873936621e-13,Downregulated
GRHL2,-1.82842885907656,7.36329456151811e-16,1.48043127878522e-13,Downregulated
LOC107986428,-3.13058052904179,8.775074229626159e-16,1.74809139286332e-13,Downregulated
LOC124903815,-2.31538377787603,9.58293373174597e-16,1.89167111864665e-13,Downregulated
LINC00504,-3.08702264940687,1.2738499505519401e-15,2.49192593029594e-13,Downregulated
ENPP7P6,-2.02194087825292,1.5679035716094802e-15,3.03977304945788e-13,Downregulated
ZC3H3,-3.66114707115093,1.1766336138888301e-14,2.26101082229929e-12,Downregulated
RBMY2JP,-3.60162041177338,1.45147193181305e-14,2.7646720638060097e-12,Downregulated
ARHGEF35-AS1,-1.7674026091382,1.79719065718285e-14,3.3934085156581297e-12,Downregulated
LOC107985694,-1.62415015820584,2.28676164300107e-14,4.2460791407941995e-12,Downregulated
CENATAC,1.54973049108995,2.28788458815935e-14,4.2460791407941995e-12,Upregulated
RNA45SN5,-2.96105794057545,2.37022863317366e-14,4.36162241870618e-12,Downregulated
IFT122,-2.17627051280068,2.65237411891462e-14,4.8398026569842e-12,Downregulated
LOC124903290,-1.33481937799186,3.60191026762632e-14,6.51765662926982e-12,Downregulated
LOC440300,-1.76703250418718,5.88424969231913e-14,1.05595535387618e-11,Downregulated
LOC102724621,-2.8880350389089,6.25025532912688e-14,1.11244298538247e-11,Downregulated
LOC101929583,-3.82362113960871,8.888111532047581e-14,1.56907686021855e-11,Downregulated
LOC124906231,-3.28155638349517,9.920441359118591e-14,1.7371972876766198e-11,Downregulated
IL34,-3.73089176958328,1.01313471469609e-13,1.7599365755928798e-11,Downregulated
C2orf92,2.26047926023168,1.15165084508151e-13,1.98467828969047e-11,Upregulated
MIR1184-2,-3.1409338000044,1.81906665472984e-13,3.1101742788034496e-11,Downregulated
RN7SKP80,4.41678945625474,2.2199370434371e-13,3.76591507509322e-11,Upregulated
GOLGA6C,-3.63832885293218,2.31423122485191e-13,3.8954431640646794e-11,Downregulated
GTF2IRD2P1,-3.72769107883693,2.49803525303039e-13,4.1724874987924496e-11,Downregulated
LOC102723722,-2.88953168356207,2.72533031165755e-13,4.5173910219337395e-11,Downregulated
LOC107984956,2.53698619213928,3.12469055779847e-13,5.14011596757848e-11,Upregulated
LERFS,-1.58489965338167,3.3942680218322e-13,5.5415891598544596e-11,Downregulated
CDC27P9,3.75910792195421,3.42171045910833e-13,5.5447030529162797e-11,Upregulated
GRIN3B,1.10379564522653,3.88350090273521e-13,6.246395451999429e-11,Upregulated
LOC105372323,-2.93353890558856,4.13505502597349e-13,6.602101826028559e-11,Downregulated
FAM21FP,-2.12709417655039,4.17194072476176e-13,6.612373788137001e-11,Downregulated
MRPL36,1.45956356155,5.52148272243194e-13,8.68793303151355e-11,Upregulated
LOC124909407,1.98813871506705,8.075542129712899e-13,1.26152749499702e-10,Upregulated
LOC100132154,-2.82933690977704,9.14185227082029e-13,1.41790128720423e-10,Downregulated
LOC122526776,1.26990324313832,9.54499827058211e-13,1.46992973366965e-10,Upregulated
HTR5BP,-2.21076236368896,1.30241166645878e-12,1.98989132344007e-10,Downregulated
RNASE10,-3.22860738679318,1.3104654105735e-12,1.98989132344007e-10,Downregulated
ZKSCAN7,1.45163352419786,1.3321804149538399e-12,2.00881705071581e-10,Upregulated
FMN2P1,-2.93089946714542,1.6436388006252399e-12,2.4613774425363103e-10,Downregulated
